region,year,unemp_rate,youth_unemp_rate,inactivity_rate,inv_jobs_promoted,ni,inv_jobs_promoted_lag1,peace_period,notes
Northern Ireland,2002,5.9,11.8,29.7,0,1,0,PEACE_II,treatment
Scotland,2002,6.3,14.4,23.6,0,0,0,PEACE_II,control candidate
Wales,2002,5.4,13.7,28.4,0,0,0,PEACE_II,control candidate
North East,2002,6.8,14.3,28.8,0,0,0,PEACE_II,control candidate
North West,2002,5.4,12.6,25.6,0,0,0,PEACE_II,control candidate
East Midlands,2002,4.7,10.9,21.8,0,0,0,PEACE_II,control candidate
West Midlands,2002,5.7,14.2,23.2,0,0,0,PEACE_II,control candidate
East of England,2002,4.1,9.7,19.9,0,0,0,PEACE_II,control candidate
London,2002,6.8,14.9,25.4,0,0,0,PEACE_II,control candidate
South East,2002,3.8,9.1,18.9,0,0,0,PEACE_II,control candidate
South West,2002,3.8,9.2,20.1,0,0,0,PEACE_II,control candidate
Northern Ireland,2003,5.6,10.9,28.9,817,1,0,PEACE_II,treatment
Scotland,2003,5.7,14,23.3,0,0,0,PEACE_II,control candidate
Wales,2003,4.7,13.2,26.1,0,0,0,PEACE_II,control candidate
North East,2003,6.4,16.2,28.9,0,0,0,PEACE_II,control candidate
North West,2003,4.9,12.5,24.9,0,0,0,PEACE_II,control candidate
Yorkshire and The Humber,2003,5,11.7,23.9,0,0,0,PEACE_II,control candidate
East Midlands,2003,4.3,10.5,22.6,0,0,0,PEACE_II,control candidate
West Midlands,2003,5.8,14.6,23.8,0,0,0,PEACE_II,control candidate
East of England,2003,4.4,10.2,20.1,0,0,0,PEACE_II,control candidate
London,2003,7.1,16.8,25.7,0,0,0,PEACE_II,control candidate
South East,2003,3.9,9.7,19.4,0,0,0,PEACE_II,control candidate
South West,2003,3.4,8.6,20.6,0,0,0,PEACE_II,control candidate
Northern Ireland,2004,5,11.4,30.5,1099,1,817,PEACE_II,treatment
Scotland,2004,5.7,13.8,22.6,0,0,0,PEACE_II,control candidate
Wales,2004,4.5,12.1,26.4,0,0,0,PEACE_II,control candidate
North East,2004,5.8,14.2,28,0,0,0,PEACE_II,control candidate
North West,2004,4.5,11.9,24.8,0,0,0,PEACE_II,control candidate
Yorkshire and The Humber,2004,4.6,11.6,23.9,0,0,0,PEACE_II,control candidate
